,,,,2020 Complete Raw Enchantment Permit Lottery Data,,,,,,,,
Permit Type,Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,9/3/2020,Colchuck Zone,8/14/2020,Colchuck Zone,,8/21/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/29/2020,Colchuck Zone,8/29/2020,Snow Zone,,9/12/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Colchuck Zone,7/4/2020,Core Enchantment Zone,,8/28/2020,Eightmile/Caroline Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Colchuck Zone,6/26/2020,Colchuck Zone,,,,Unsuccessful,,,,
Overnight Permit,6/7/2020,Colchuck Zone,6/14/2020,Colchuck Zone,,6/21/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/11/2020,Colchuck Zone,9/11/2020,Core Enchantment Zone,,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/23/2020,Colchuck Zone,7/30/2020,Colchuck Zone,,7/16/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/27/2020,Colchuck Zone,9/10/2020,Colchuck Zone,,9/15/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/17/2020,Colchuck Zone,7/24/2020,Colchuck Zone,,7/31/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/12/2020,Colchuck Zone,8/14/2020,Core Enchantment Zone,,7/24/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,9/6/2020,Colchuck Zone,9/12/2020,Colchuck Zone,,9/19/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/29/2020,Colchuck Zone,,,,,,Unsuccessful,,,,
,,,,,,1,,,,,,
Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,9/18/2020,Colchuck Zone,9/25/2020,Colchuck Zone,,9/28/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/24/2020,Colchuck Zone,9/5/2020,Colchuck Zone,,7/27/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/21/2020,Colchuck Zone,8/28/2020,Snow Zone,,8/29/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/10/2020,Colchuck Zone,7/24/2020,Colchuck Zone,,8/7/2020,Colchuck Zone,Awarded,1,7/10/2020,Colchuck Zone,4
Overnight Permit,6/13/2020,Colchuck Zone,6/13/2020,Colchuck Zone,,6/13/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/5/2020,Colchuck Zone,9/26/2020,Core Enchantment Zone,,8/29/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/23/2020,Colchuck Zone,8/20/2020,Core Enchantment Zone,,8/21/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/6/2020,Colchuck Zone,7/23/2020,Colchuck Zone,,7/23/2020,Core Enchantment Zone,Unsuccessful,,,,
